Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
TRANSFER,6,2,2.569999933,10.27000046,Late delivery,0,61,CDs ,Michigan City,EE. UU.,XXXXXXXXX,Hollee,17848,Rivera,XXXXXXXXX,Consumer,IN,6174 Honey Lookout,46360.0,9,Discs Shop,41.68772507,-86.94359589,Pacific Asia,Adelaide,Australia,17848,12/16/2018 18:14,74295,1348,1.019999981,0.090000004,177610,11.28999996,0.25,1,11.28999996,10.27000046,2.569999933,Oceania,Australia del Sur,PENDING,,1348,61,,http://images.acmesports.sports/CDs+of+rock,CDs of rock,11.28999996,0,12/16/2018 18:14,Second Class
DEBIT,6,4,35.24000168,130.5,Late delivery,0,24,Women's Apparel,Norfolk,EE. UU.,XXXXXXXXX,Grace,6707,Smith,XXXXXXXXX,Corporate,VA,1982 Burning Forest,23503.0,5,Golf,36.94200516,-76.24208069,Europe,Calais,Francia,6707,12/21/2018 21:48,66080,502,19.5,0.129999995,165160,50.0,0.270000011,3,150.0,130.5,35.24000168,Western Europe,Norte-Paso de Calais-Picardía,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,12/21/2018 21:48,Standard Class
DEBIT,3,4,86.38999939,239.9799957,Advance shipping,1,43,Camping & Hiking,Hialeah,EE. UU.,XXXXXXXXX,Anthony,10390,Stevenson,XXXXXXXXX,Consumer,FL,4055 Fallen Log Village,33012.0,7,Fan Shop,25.86688042,-80.31456757,Europe,Celle,Alemania,10390,12/10/2018 13:39,67882,957,60.0,0.200000003,169717,299.980011,0.360000014,1,299.980011,239.9799957,86.38999939,Western Europe,Baja Sajonia,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,12/10/2018 13:39,Standard Class
DEBIT,4,4,46.31000137,94.5,Shipping on time,1,24,Women's Apparel,Saint Louis,EE. UU.,XXXXXXXXX,Mary,11901,Smith,XXXXXXXXX,Consumer,MO,8679 Middle Avenue,63116.0,5,Golf,38.55750656,-90.2736969,Europe,La Rochelle,Francia,11901,12/16/2018 20:04,67978,502,5.5,0.059999999,169946,50.0,0.49000001,2,100.0,94.5,46.31000137,Western Europe,Aquitania-Lemosín-Poitou-Charentes,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,12/16/2018 20:04,Standard Class
TRANSFER,2,1,109.0800018,242.3999939,Late delivery,1,46,Indoor/Outdoor Games,Chula Vista,EE. UU.,XXXXXXXXX,Olivia,9314,Smith,XXXXXXXXX,Consumer,CA,3760 Stony Promenade,91911.0,7,Fan Shop,32.61114121,-117.0736618,Europe,Dieppe,Francia,9314,12/20/2018 16:27,66180,1014,7.5,0.029999999,165439,49.97999954,0.449999988,5,249.8999939,242.3999939,109.0800018,Western Europe,Normandía,PROCESSING,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,12/20/2018 16:27,First Class
PAYMENT,2,2,34.02999878,70.90000153,Shipping on time,0,72,Pet Supplies,Caguas,Puerto Rico,XXXXXXXXX,Selma,16544,Terry,XXXXXXXXX,Consumer,PR,858 Red Wynd,725.0,11,Pet Shop,18.20096397,-66.03705597,Pacific Asia,Singapur,Singapur,16544,12/3/2018 04:41,72991,1359,13.5,0.159999996,176306,84.40000153,0.479999989,1,84.40000153,70.90000153,34.02999878,Southeast Asia,Singapur,PENDING_PAYMENT,,1359,72,,http://images.acmesports.sports/Adult+dog+supplies,Adult dog supplies,84.40000153,0,12/3/2018 04:41,Second Class
PAYMENT,2,1,16.21999931,48.0,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,XXXXXXXXX,Martha,12276,Smith,XXXXXXXXX,Consumer,PR,4385 Round Place,725.0,5,Golf,18.24432945,-66.37056732,Europe,Rheine,Alemania,12276,12/18/2018 12:15,65953,502,2.0,0.039999999,164834,50.0,0.340000004,1,50.0,48.0,16.21999931,Western Europe,Renania del Norte-Westfalia,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,12/18/2018 12:15,First Class
TRANSFER,6,4,27.15999985,193.9900055,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,XXXXXXXXX,Catherine,5909,Owens,XXXXXXXXX,Corporate,PR,3760 Rocky Village,725.0,7,Fan Shop,18.28386116,-66.37055206,Europe,Bremen,Alemania,5909,12/16/2018 10:25,65865,1073,6.0,0.029999999,164596,199.9900055,0.140000001,1,199.9900055,193.9900055,27.15999985,Western Europe,Bremen,PENDING,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,12/16/2018 10:25,Standard Class
DEBIT,4,2,59.15000153,227.4900055,Late delivery,1,41,Trade-In,Joliet,EE. UU.,XXXXXXXXX,Mary,5555,Smith,XXXXXXXXX,Consumer,IL,610 Pleasant Shadow Heights,60435.0,6,Outdoors,41.53393173,-88.125,Europe,Stoke-on-Trent,Reino Unido,5555,12/31/2018 13:17,65353,607,22.5,0.090000004,163350,249.9900055,0.25999999,1,249.9900055,227.4900055,59.15000153,Northern Europe,Inglaterra,COMPLETE,,607,41,,http://images.acmesports.sports/Garmin+Approach+S3+Golf+GPS+Watch,Garmin Approach S3 Golf GPS Watch,249.9900055,0,12/31/2018 13:17,Second Class
TRANSFER,2,4,-32.79999924,399.9599915,Shipping canceled,1,9,Cardio Equipment,Dallas,EE. UU.,XXXXXXXXX,Patricia,2591,Smith,XXXXXXXXX,Consumer,TX,6940 Pleasant Zephyr Via,75231.0,3,Footwear,32.85476685,-96.73997498,Europe,Graz,Austria,2591,12/24/2018 13:47,68686,191,99.98999786,0.200000003,171723,99.98999786,-0.079999998,5,499.9500122,399.9599915,-32.79999924,Western Europe,Stiria,SUSPECTED_FRAUD,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,12/24/2018 13:47,Standard Class
TRANSFER,5,4,68.88999939,237.5599976,Late delivery,1,17,Cleats,Greeley,EE. UU.,XXXXXXXXX,Mary,4700,Campbell,XXXXXXXXX,Corporate,CO,9695 Misty Court,80631.0,4,Apparel,40.41231918,-104.6923523,Europe,Bergheim,Alemania,4700,12/8/2018 15:57,65504,365,2.400000095,0.01,163721,59.99000168,0.289999992,4,239.9600067,237.5599976,68.88999939,Western Europe,Renania del Norte-Westfalia,PENDING,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,12/8/2018 15:57,Standard Class
TRANSFER,2,2,-296.9899902,197.9900055,Shipping on time,0,48,Water Sports,Los Angeles,EE. UU.,XXXXXXXXX,Bruce,2782,Smith,XXXXXXXXX,Corporate,CA,1050 Grand Forest Towers,90004.0,7,Fan Shop,34.07558823,-118.2997131,Europe,Essen,Alemania,2782,12/22/2018 20:42,64871,1073,2.0,0.01,162160,199.9900055,-1.5,1,199.9900055,197.9900055,-296.9899902,Western Europe,Renania del Norte-Westfalia,PROCESSING,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,12/22/2018 20:42,Second Class
DEBIT,5,4,27.0,59.99000168,Late delivery,1,17,Cleats,Bronx,EE. UU.,XXXXXXXXX,Mary,3637,Wu,XXXXXXXXX,Corporate,NY,7446 Rocky Lookout,10460.0,4,Apparel,40.84042358,-73.87844849,Europe,Lincoln,Reino Unido,3637,12/16/2018 05:47,68304,365,0.0,0.0,170757,59.99000168,0.449999988,1,59.99000168,59.99000168,27.0,Northern Europe,Inglaterra,COMPLETE,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,12/16/2018 05:47,Standard Class
DEBIT,0,0,-276.5400085,331.980011,Shipping on time,1,45,Fishing,Mesa,EE. UU.,XXXXXXXXX,Jason,1438,Smith,XXXXXXXXX,Consumer,AZ,3050 Crystal Fawn Green,85201.0,7,Fan Shop,33.43081665,-111.8384018,Europe,Metz,Francia,1438,12/27/2018 16:13,65777,1004,68.0,0.170000002,164393,399.980011,-0.829999983,1,399.980011,331.980011,-276.5400085,Western Europe,Alsacia-Champaña-Ardenas-Lorena,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,12/27/2018 16:13,Same Day
DEBIT,6,2,19.88999939,48.5,Late delivery,0,24,Women's Apparel,Caguas,Puerto Rico,XXXXXXXXX,Nancy,10610,Bryant,XXXXXXXXX,Corporate,PR,1133 Cozy Embers Plaza,725.0,5,Golf,18.21938515,-66.37051392,Europe,Neubrandenburg,Alemania,10610,12/9/2018 17:40,66550,502,1.5,0.029999999,166342,50.0,0.409999996,1,50.0,48.5,19.88999939,Western Europe,Mecklemburgo-Pomerania Occidental,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,12/9/2018 17:40,Second Class
TRANSFER,2,4,240.0,1200.0,Advance shipping,0,64,Computers,Staten Island,EE. UU.,XXXXXXXXX,Jenna,14079,Harrell,XXXXXXXXX,Consumer,NY,3796 Rustic Autoroute,10306.0,10,Technology,40.56678009,-74.11734772,Europe,Vaulx-en-Velin,Francia,14079,12/26/2018 15:41,70526,1351,300.0,0.200000003,173841,1500.0,0.200000003,1,1500.0,1200.0,240.0,Western Europe,Auvernia-Ródano-Alpes,PROCESSING,,1351,64,,http://images.acmesports.sports/Dell+Laptop,Dell Laptop,1500.0,0,12/26/2018 15:41,Standard Class
DEBIT,5,4,38.88999939,114.3899994,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Sarah,5091,Smith,XXXXXXXXX,Consumer,PR,8492 Round Path,725.0,4,Apparel,18.2503624,-66.37054443,Europe,Marseille,Francia,5091,12/10/2018 15:53,68639,403,15.60000038,0.119999997,171600,129.9900055,0.340000004,1,129.9900055,114.3899994,38.88999939,Western Europe,Provenza-Alpes-Costa Azul,COMPLETE,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,12/10/2018 15:53,Standard Class
PAYMENT,3,4,14.0,40.0,Advance shipping,0,24,Women's Apparel,Rego Park,EE. UU.,XXXXXXXXX,Mary,3203,Bryan,XXXXXXXXX,Consumer,NY,4916 Honey Highlands,11374.0,5,Golf,40.73192978,-73.8688736,Europe,Minden,Alemania,3203,12/20/2018 02:26,65247,502,10.0,0.200000003,163047,50.0,0.349999994,1,50.0,40.0,14.0,Western Europe,Renania del Norte-Westfalia,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,12/20/2018 02:26,Standard Class
DEBIT,4,4,66.15000153,135.0,Shipping on time,0,24,Women's Apparel,Pico Rivera,EE. UU.,XXXXXXXXX,Mary,7378,Medina,XXXXXXXXX,Consumer,CA,3327 Pleasant Place,90660.0,5,Golf,34.00259781,-118.0799789,Europe,Bristol,Reino Unido,7378,12/10/2018 05:10,67733,502,15.0,0.100000001,169332,50.0,0.49000001,3,150.0,135.0,66.15000153,Northern Europe,Inglaterra,COMPLETE,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,12/10/2018 05:10,Standard Class
DEBIT,2,4,131.9900055,263.980011,Advance shipping,0,43,Camping & Hiking,Caguas,Puerto Rico,XXXXXXXXX,Mary,174,Perez,XXXXXXXXX,Home Office,PR,6332 Round Range,725.0,7,Fan Shop,18.1464901,-66.54896545,Europe,Ancona,Italia,174,12/4/2018 20:01,65226,957,36.0,0.119999997,163006,299.980011,0.5,1,299.980011,263.980011,131.9900055,Southern Europe,Marche,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,12/4/2018 20:01,Standard Class
PAYMENT,5,4,37.31000137,106.5899963,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Ethan,7960,Thomas,XXXXXXXXX,Corporate,PR,1454 Green Jetty,725.0,4,Apparel,18.29623795,-66.37055206,Europe,Paris,Francia,7960,12/5/2018 12:39,67449,403,23.39999962,0.180000007,168604,129.9900055,0.349999994,1,129.9900055,106.5899963,37.31000137,Western Europe,Isla de Francia,PENDING_PAYMENT,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,12/5/2018 12:39,Standard Class
TRANSFER,0,0,-196.4700012,187.1100006,Shipping on time,1,10,Strength Training,Miami,EE. UU.,XXXXXXXXX,Theresa,8624,Welch,XXXXXXXXX,Corporate,FL,2199 Dewy Forest Highway,33126.0,3,Footwear,25.75369644,-80.20115662,Europe,Munich,Alemania,8624,12/12/2018 10:12,65926,216,1.889999986,0.01,164748,189.0,-1.049999952,1,189.0,187.1100006,-196.4700012,Western Europe,Bavaria,PENDING,,216,10,,http://images.acmesports.sports/Yakima+DoubleDown+Ace+Hitch+Mount+4-Bike+Rack,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.0,0,12/12/2018 10:12,Same Day
PAYMENT,4,4,-773.5700073,442.0400085,Shipping on time,1,68,Garden,El Paso,EE. UU.,XXXXXXXXX,Sybill,15651,Solis,XXXXXXXXX,Corporate,TX,4900 Cotton Maze,79936.0,6,Outdoors,31.74350929,-106.3041382,Pacific Asia,Surabaya,Indonesia,15651,12/31/2018 05:39,72098,1355,90.54000092,0.170000002,175413,532.5800171,-1.75,1,532.5800171,442.0400085,-773.5700073,Southeast Asia,Java Oriental,PENDING_PAYMENT,,1355,68,,http://images.acmesports.sports/Lawn+mower,Lawn mower,532.5800171,0,12/31/2018 05:39,Standard Class
DEBIT,4,4,113.3899994,377.980011,Shipping on time,1,45,Fishing,New Bedford,EE. UU.,XXXXXXXXX,Deborah,9821,Smith,XXXXXXXXX,Consumer,MA,4968 Honey Pine Island,2740.0,7,Fan Shop,41.6280365,-70.92701721,Europe,Chelles,Francia,9821,12/15/2018 06:54,67818,1004,22.0,0.059999999,169553,399.980011,0.300000012,1,399.980011,377.980011,113.3899994,Western Europe,Isla de Francia,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,12/15/2018 06:54,Standard Class
DEBIT,4,4,26.03000069,74.37999725,Shipping on time,0,29,Shop By Sport,Miami,EE. UU.,XXXXXXXXX,Mary,8627,Smith,XXXXXXXXX,Home Office,FL,3919 Red Branch Corner,33125.0,5,Golf,25.77895165,-80.22286224,Europe,Rotherham,Reino Unido,8627,12/17/2018 18:02,65983,627,5.599999905,0.07,164894,39.99000168,0.349999994,2,79.98000336,74.37999725,26.03000069,Northern Europe,Inglaterra,COMPLETE,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,12/17/2018 18:02,Standard Class
TRANSFER,2,4,-5.570000172,191.9900055,Advance shipping,1,48,Water Sports,New York,EE. UU.,XXXXXXXXX,Mary,7865,Bryant,XXXXXXXXX,Home Office,NY,5593 Red Byway,10028.0,7,Fan Shop,40.77602005,-73.95201111,Europe,Estocolmo,Suecia,7865,12/8/2018 17:13,64771,1073,8.0,0.039999999,161897,199.9900055,-0.029999999,1,199.9900055,191.9900055,-5.570000172,Northern Europe,Estocolmo,PROCESSING,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,12/8/2018 17:13,Standard Class
TRANSFER,4,4,43.72999954,139.7200012,Shipping on time,0,67,DVDs,Caguas,Puerto Rico,XXXXXXXXX,Melodie,15076,Levine,XXXXXXXXX,Home Office,PR,3709 Middle Forest Downs,725.0,9,Discs Shop,18.22183228,-66.03705597,Europe,Viena,Austria,15076,12/21/2018 17:24,71523,1354,24.65999985,0.150000006,174838,164.3800049,0.310000002,1,164.3800049,139.7200012,43.72999954,Western Europe,Viena,PENDING,,1354,67,,http://images.acmesports.sports/DVDs,DVDs ,164.3800049,0,12/21/2018 17:24,Standard Class
TRANSFER,5,4,77.08000183,163.9900055,Late delivery,0,48,Water Sports,Tucson,EE. UU.,XXXXXXXXX,Peter,9844,Smith,XXXXXXXXX,Home Office,AZ,5795 Lazy View Concession,85719.0,7,Fan Shop,32.19884491,-111.0877686,Europe,Duisburg,Alemania,9844,12/17/2018 08:25,68449,1073,36.0,0.180000007,171133,199.9900055,0.469999999,1,199.9900055,163.9900055,77.08000183,Western Europe,Renania del Norte-Westfalia,PROCESSING,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,12/17/2018 08:25,Standard Class
TRANSFER,2,1,-9.899999619,395.980011,Late delivery,1,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,John,2674,Smith,XXXXXXXXX,Consumer,PR,9992 Clear Jetty,725.0,7,Fan Shop,18.29071999,-66.37060547,Europe,Vitry-sur-Seine,Francia,2674,12/12/2018 19:04,65017,1004,4.0,0.01,162521,399.980011,-0.029999999,1,399.980011,395.980011,-9.899999619,Western Europe,Isla de Francia,PENDING,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,12/12/2018 19:04,First Class
PAYMENT,2,4,103.9400024,377.980011,Advance shipping,1,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Mary,2000,Vance,XXXXXXXXX,Home Office,PR,4711 Grand Pioneer Promenade,725.0,7,Fan Shop,18.2179451,-66.3706131,Europe,Villeneuve-d'Ascq,Francia,2000,12/15/2018 05:18,68481,1004,22.0,0.059999999,171236,399.980011,0.280000001,1,399.980011,377.980011,103.9400024,Western Europe,Norte-Paso de Calais-Picardía,PENDING_PAYMENT,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,12/15/2018 05:18,Standard Class
TRANSFER,2,1,159.1699982,438.480011,Shipping canceled,1,62,Cameras ,Caguas,Puerto Rico,XXXXXXXXX,Deanna,13344,Gutierrez,XXXXXXXXX,Consumer,PR,7798 Cinder Dale ,725.0,10,Technology,18.25518036,-66.03705597,Europe,Toulouse,Francia,13344,12/3/2018 10:26,69791,1349,13.56000042,0.029999999,173106,452.0400085,0.360000014,1,452.0400085,438.480011,159.1699982,Western Europe,Languedoc-Rosellón-Mediodía-Pirineos,SUSPECTED_FRAUD,,1349,62,,http://images.acmesports.sports/Web+Camera,Web Camera,452.0400085,0,12/3/2018 10:26,First Class
TRANSFER,4,4,56.33000183,194.2400055,Shipping on time,1,76,Women's Clothing,North Richland Hills,EE. UU.,XXXXXXXXX,Zia,20671,Floyd,XXXXXXXXX,Corporate,TX,833 Amber Anchor Glen,76180.0,4,Apparel,32.83925629,-97.20110321,Pacific Asia,Ho Chi Minh City,Vietnam,20671,12/14/2018 10:04,77118,1363,21.57999992,0.100000001,180433,215.8200073,0.289999992,1,215.8200073,194.2400055,56.33000183,Southeast Asia,Ciudad Ho Chi Minh,PENDING,,1363,76,,http://images.acmesports.sports/Summer+dresses,Summer dresses,215.8200073,0,12/14/2018 10:04,Standard Class
